"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.046022679,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.405037445,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.288454855,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.261506728,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.150738208,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.233424391,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.142221229,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.740407308,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.770711605,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.311163633,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.222247457,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.732000112,"P"
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.764276964,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.774102322,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.329919527,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.2517764,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.788708787,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.39740667,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q4",3.215098165,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.857630259,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.795943647,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.87351854,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.426812884,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.410655016,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-1.948431564,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",3.531721291,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.100496567,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.440976211,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",1.748643172,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q4",5.220155762,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-2.050575068,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",4.899376219,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.055514349,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.226395248,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.13273242,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.45897235,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.044750089,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.525884387,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-19.428322456,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",17.595765822,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.482439501,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.171912613,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",5.555746599,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.937339938,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.275237583,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.751223416,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.426116907,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.696689921,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.365134952,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.207322332,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.811153699,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.619102709,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q4",2.196789738,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q1",3.330827646,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.419040632,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.025203826,
"EST","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.766512983,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.796147943,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.389960487,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.46067218,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.521373485,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.992876481,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q3",6.126802553,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.084548227,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.065582661,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.310805805,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.443430919,
"DNK","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.98575435,
"DNK","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.099863771,
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.365570965,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.37901041,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.376576034,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.391222646,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-17.652092761,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q3",16.798457005,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.222620107,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.502705329,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.128356521,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.605876202,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.222277268,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.322286957,"P"
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.496646407,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.033333441,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-2.816475977,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.509772704,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.935514875,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.291054786,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.757827374,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.322732038,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.520030338,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.74171144,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.940675115,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.246936474,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.599567995,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.434427162,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.019896487,
